Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
premium-gift-box,プレミアムギフトボックスセット,<p>特別な日にふさわしい高級ギフトセット</p>,ギフト工房,Gift & Flowers,ギフトボックス,"ギフト,プレミアム,高級",true,サイズ,L,,,,,,,PRD-2001-L,500,shopify,continue,manual,15000,18000,true,true,,,,,false,プレミアムギフトボックス,特別な贈り物に最適な高級ギフトボックス,active
premium-gift-box,,,,,,,,,M,,,,,,,PRD-2001-M,350,shopify,continue,manual,12000,15000,true,true,,,,,,,,,
premium-gift-box,,,,,,,,,S,,,,,,,PRD-2001-S,200,shopify,continue,manual,8000,10000,true,true,,,,,,,,,
seasonal-collection,季節限定コレクション,<p>四季をテーマにした限定商品</p>,季節工房,Seasonal,限定商品,"季節,限定,コレクション",true,シーズン,春,,,,,,,PRD-2002-SP,300,shopify,continue,manual,5000,6000,true,true,,,,,false,季節限定コレクション,四季の美しさを表現した限定商品,active
seasonal-collection,,,,,,,,,夏,,,,,,,PRD-2002-SU,300,shopify,continue,manual,5500,6500,true,true,,,,,,,,,
seasonal-collection,,,,,,,,,秋,,,,,,,PRD-2002-AU,300,shopify,continue,manual,6000,7000,true,true,,,,,,,,,
seasonal-collection,,,,,,,,,冬,,,,,,,PRD-2002-WI,300,shopify,continue,manual,6500,7500,true,true,,,,,,,,,
daily-essentials,デイリーエッセンシャル,<p>毎日使える実用的なアイテム</p>,生活工房,Home & Garden,日用品,"日用品,実用,毎日",true,タイプ,ベーシック,,,,,,,PRD-2003-BA,150,shopify,continue,manual,2000,2500,true,true,,,,,false,デイリーエッセンシャル,毎日の生活を豊かにする実用的なアイテム,active
daily-essentials,,,,,,,,,スタンダード,,,,,,,PRD-2003-ST,200,shopify,continue,manual,3000,3500,true,true,,,,,,,,,
daily-essentials,,,,,,,,,プレミアム,,,,,,,PRD-2003-PR,250,shopify,continue,manual,4000,4500,true,true,,,,,,,,,
luxury-items,ラグジュアリーアイテム,<p>上質な素材を使用した贅沢品</p>,高級工房,Luxury,高級品,"高級,ラグジュアリー,上質",true,グレード,ゴールド,,,,,,,PRD-2004-GO,800,shopify,continue,manual,25000,30000,true,true,,,,,false,ラグジュアリーアイテム,最高級の素材と職人技が生み出す逸品,active
