FieldType,OriginalValue,AnonymizedValue,Index
Handle,premium-laptop-x1,test-premium-laptop-x1,1
Handle,smart-watch-pro,test-smart-watch-pro,28
Handle,organic-tea-set,test-organic-tea-set,51
Handle,test_test,test-test_test,118
Handle,2352,test-2352,127
Handle,2351,test-2351,132
Handle,2350,test-2350,137
Handle,2349,test-2349,139
Handle,2348,test-2348,141
Handle,2347,test-2347,143
Handle,2346,test-2346,145
Handle,2345,test-2345,153
Handle,2344,test-2344,158
Handle,2343,test-2343,163
Handle,2342,test-2342,166
Handle,2341,test-2341,169
Handle,2340,test-2340,172
Handle,2339,test-2339,174
Handle,2338,test-2338,176
Handle,2337,test-2337,180
Handle,2336,test-2336,182
Handle,2335,test-2335,184
Handle,2334,test-2334,186
Handle,2333,test-2333,193
Handle,2332,test-2332,199
Handle,2331,test-2331,202
Handle,2330,test-2330,205
Handle,2329,test-2329,211
Handle,2327,test-2327,214
Handle,2326,test-2326,217
Handle,daibiki-fee,test-daibiki-fee,219
Handle,2324,test-2324,226
Handle,2319,test-2319,234
Handle,2318,test-2318,240
Handle,2317,test-2317,246
Handle,2316,test-2316,249
Handle,2082,test-2082,252
Handle,2081,test-2081,257
Handle,2076,test-2076,260
Handle,2075,test-2075,269
Handle,2074,test-2074,274
Handle,2073,test-2073,278
Handle,2068,test-2068,282
Handle,2066,test-2066,285
Handle,2065,test-2065,289
Handle,2064,test-2064,292
Handle,2063,test-2063,295
Handle,2062,test-2062,300
Handle,2061,test-2061,303
Handle,2060,test-2060,307
Handle,2036,test-2036,311
Handle,1016,test-1016,317
Handle,1018,test-1018,328
Handle,1089,test-1089,331
Handle,1094,test-1094,335
Handle,1077,test-1077,337
Handle,1326,test-1326,339
Handle,1120,test-1120,341
Handle,1118,test-1118,343
Handle,1093,test-1093,345
Handle,1115,test-1115,347
Handle,1536,test-1536,349
Handle,1538,test-1538,351
Handle,1291,test-1291,353
Handle,1290,test-1290,355
Handle,1327,test-1327,357
Handle,1134,test-1134,359
Handle,1746,test-1746,361
Handle,1608,test-1608,363
Handle,1535,test-1535,365
Handle,1385,test-1385,367
Handle,1557,test-1557,370
Handle,1478,test-1478,372
Handle,1479,test-1479,374
Handle,1999,test-1999,376
Handle,1537,test-1537,379
Handle,1986,test-1986,381
Handle,1584,test-1584,387
Handle,1726,test-1726,389
Handle,1995,test-1995,391
Handle,158,test-158,393
Handle,1609,test-1609,395
Handle,1725,test-1725,397
Handle,1748,test-1748,399
Handle,1998,test-1998,401
Handle,1585,test-1585,403
Handle,1750,test-1750,405
Handle,157,test-157,407
Handle,1544,test-1544,409
Handle,2022,test-2022,411
Handle,1984,test-1984,416
Handle,1745,test-1745,419
Handle,1747,test-1747,421
Handle,1997,test-1997,423
Handle,1994,test-1994,426
Handle,1749,test-1749,428
